record,source_record,bootstrap_idx,n_samples,uc_mean,uc_std,uc_min,uc_max,uc_nan_pct,fhr_uc_corr,uc_path
syn_00056,1029,0,16800,8.792262077331543,12.189820289611816,0.0,90.5,0.0,0.2367359041505461,data\synthetic\syn_00056_uc.npy
syn_00057,1029,1,16800,5.7595534324646,9.303115844726562,0.0,90.5,0.0,0.14288990863148077,data\synthetic\syn_00057_uc.npy
syn_00058,1030,0,16800,26.415624618530273,23.95580291748047,0.0,127.0,0.0,-0.2895911975793064,data\synthetic\syn_00058_uc.npy
syn_00059,1030,1,16800,20.38190460205078,18.98192596435547,0.0,127.0,0.0,-0.23640315629044337,data\synthetic\syn_00059_uc.npy
syn_00060,1031,0,15600,24.148845672607422,26.0496883392334,0.0,100.0,0.0,-0.27999516962620796,data\synthetic\syn_00060_uc.npy
syn_00061,1031,1,15600,23.894229888916016,23.013830184936523,0.0,100.0,0.0,-0.3154517465227937,data\synthetic\syn_00061_uc.npy
syn_00062,1032,0,21600,16.865671157836914,14.812430381774902,0.0,116.5,0.0,-0.038383735917786745,data\synthetic\syn_00062_uc.npy
syn_00063,1032,1,21600,19.518077850341797,17.330121994018555,0.0,127.0,0.0,-0.11791042815024001,data\synthetic\syn_00063_uc.npy
syn_00064,1033,0,15600,9.693878173828125,12.072892189025879,0.0,87.0,0.0,-0.11802948304884914,data\synthetic\syn_00064_uc.npy
syn_00065,1033,1,15600,6.910224437713623,12.752171516418457,0.0,99.0,0.0,0.07427665904372101,data\synthetic\syn_00065_uc.npy
syn_00066,1034,0,19200,8.729218482971191,10.626123428344727,0.0,63.5,0.0,-0.15896771337064966,data\synthetic\syn_00066_uc.npy
syn_00067,1034,1,19200,9.045260429382324,9.810413360595703,0.0,64.5,0.0,0.01640478390235893,data\synthetic\syn_00067_uc.npy
syn_00068,1035,0,16800,12.034285545349121,14.944182395935059,0.0,127.0,0.0,-0.15779577802517414,data\synthetic\syn_00068_uc.npy
syn_00069,1035,1,16800,12.17505931854248,14.856684684753418,0.0,102.5,0.0,-0.091561020724638,data\synthetic\syn_00069_uc.npy
syn_00070,1036,0,16800,19.61863136291504,13.751518249511719,0.0,100.0,0.0,-0.21850455655382692,data\synthetic\syn_00070_uc.npy
syn_00071,1036,1,16800,22.249820709228516,14.187370300292969,0.0,100.0,0.0,-0.220311661639975,data\synthetic\syn_00071_uc.npy
syn_00072,1037,0,18000,34.00661087036133,32.69407272338867,0.0,127.0,0.0,-0.08861151218501646,data\synthetic\syn_00072_uc.npy
syn_00073,1037,1,18000,32.672359466552734,31.99775505065918,0.0,127.0,0.0,-0.07661391662860818,data\synthetic\syn_00073_uc.npy
syn_00074,1038,0,16800,26.18934440612793,30.596506118774414,0.0,127.0,0.0,-0.12041262336475964,data\synthetic\syn_00074_uc.npy
syn_00075,1038,1,16800,22.777143478393555,25.912797927856445,0.0,127.0,0.0,-0.19682090630296387,data\synthetic\syn_00075_uc.npy
syn_00076,1039,0,16800,32.248573303222656,20.544706344604492,0.0,122.0,0.0,0.18566403063294376,data\synthetic\syn_00076_uc.npy
syn_00077,1039,1,16800,30.407440185546875,15.445512771606445,0.0,122.0,0.0,0.07539943151069778,data\synthetic\syn_00077_uc.npy
syn_00078,1040,0,18000,7.647166728973389,10.174298286437988,0.0,100.0,0.0,-0.25479203564176606,data\synthetic\syn_00078_uc.npy
syn_00079,1040,1,18000,12.43416690826416,14.735004425048828,0.0,100.0,0.0,-0.3656313097638337,data\synthetic\syn_00079_uc.npy
syn_00080,1041,0,16800,14.979464530944824,21.15791893005371,0.0,100.0,0.0,0.13523339673678875,data\synthetic\syn_00080_uc.npy
syn_00081,1041,1,16800,11.24863052368164,18.492149353027344,0.0,100.0,0.0,0.16587961873743734,data\synthetic\syn_00081_uc.npy
syn_00082,1042,0,18000,17.42627716064453,16.585304260253906,0.0,65.0,0.0,0.30359477292627934,data\synthetic\syn_00082_uc.npy
syn_00083,1042,1,18000,13.536389350891113,16.356443405151367,0.0,53.0,0.0,0.4652811707457243,data\synthetic\syn_00083_uc.npy
syn_00084,1043,0,16800,11.892619132995605,18.230703353881836,0.0,127.0,0.0,0.21913193869660777,data\synthetic\syn_00084_uc.npy
syn_00085,1043,1,16800,13.694077491760254,18.405574798583984,0.0,127.0,0.0,0.2450192063590445,data\synthetic\syn_00085_uc.npy
syn_00086,1044,0,20400,7.962916851043701,12.278292655944824,0.0,86.5,0.0,0.047682481722638725,data\synthetic\syn_00086_uc.npy
syn_00087,1044,1,20400,7.458652019500732,11.773355484008789,0.0,77.0,0.0,-0.18293018960166804,data\synthetic\syn_00087_uc.npy
syn_00088,1045,0,15600,29.340768814086914,17.25115966796875,0.0,100.0,0.0,-0.3560861297373201,data\synthetic\syn_00088_uc.npy
syn_00089,1045,1,15600,24.53980827331543,17.58555793762207,0.0,100.0,0.0,-0.34023988707974956,data\synthetic\syn_00089_uc.npy
syn_00090,1046,0,19200,25.46682357788086,26.18115234375,0.0,100.0,0.0,0.09095598782110344,data\synthetic\syn_00090_uc.npy
syn_00091,1046,1,19200,24.742082595825195,25.940738677978516,0.0,100.0,0.0,0.20418967668320173,data\synthetic\syn_00091_uc.npy
syn_00092,1047,0,19200,11.161927223205566,17.77430534362793,0.0,100.0,0.0,-0.42105052875956417,data\synthetic\syn_00092_uc.npy
syn_00093,1047,1,19200,7.194218635559082,14.719747543334961,0.0,100.0,0.0,-0.38749958215650354,data\synthetic\syn_00093_uc.npy
syn_00094,1048,0,18000,20.33966636657715,14.985414505004883,0.0,107.5,0.0,0.1589445915375282,data\synthetic\syn_00094_uc.npy
syn_00095,1048,1,18000,19.996610641479492,15.029624938964844,0.0,107.5,0.0,0.17488990547925526,data\synthetic\syn_00095_uc.npy
syn_00096,1049,0,15600,21.193012237548828,17.649885177612305,0.0,127.0,0.0,-0.06480187915953589,data\synthetic\syn_00096_uc.npy
syn_00097,1049,1,15600,21.00782012939453,15.50027084350586,0.0,127.0,0.0,-0.040315077670148164,data\synthetic\syn_00097_uc.npy
syn_00098,1050,0,20400,19.0076961517334,25.802886962890625,0.0,100.0,0.0,0.3146741362908695,data\synthetic\syn_00098_uc.npy
syn_00099,1050,1,20400,12.660294532775879,21.684232711791992,0.0,100.0,0.0,0.1640027317648804,data\synthetic\syn_00099_uc.npy
syn_00100,1051,0,19200,17.378280639648438,28.120929718017578,0.0,127.0,0.0,0.07929915889424377,data\synthetic\syn_00100_uc.npy
syn_00101,1051,1,19200,14.245494842529297,22.535987854003906,0.0,127.0,0.0,0.019227553957270254,data\synthetic\syn_00101_uc.npy
syn_00102,1052,0,16800,13.5734224319458,11.793987274169922,0.0,65.5,0.0,0.26604534242506594,data\synthetic\syn_00102_uc.npy
syn_00103,1052,1,16800,12.92145824432373,13.222638130187988,0.0,101.5,0.0,0.24657168134827148,data\synthetic\syn_00103_uc.npy
syn_00104,1053,0,16800,21.504552841186523,17.674163818359375,0.0,127.0,0.0,-0.00805959591733792,data\synthetic\syn_00104_uc.npy
syn_00105,1053,1,16800,24.91276741027832,20.89613914489746,0.0,127.0,0.0,0.010405406167409656,data\synthetic\syn_00105_uc.npy
syn_00106,1054,0,21600,23.533124923706055,18.281185150146484,0.0,95.5,0.0,0.14988469105563437,data\synthetic\syn_00106_uc.npy
syn_00107,1054,1,21600,16.416412353515625,16.610374450683594,0.0,95.5,0.0,0.18439485654515522,data\synthetic\syn_00107_uc.npy
syn_00108,1055,0,16800,20.95964241027832,19.335750579833984,0.0,100.0,0.0,0.12609925492234922,data\synthetic\syn_00108_uc.npy
syn_00109,1055,1,16800,21.634464263916016,15.236345291137695,0.0,100.0,0.0,0.2917407245862918,data\synthetic\syn_00109_uc.npy
syn_00110,1056,0,16800,13.738184928894043,13.674240112304688,0.0,81.0,0.0,-0.04510605968342365,data\synthetic\syn_00110_uc.npy
syn_00111,1056,1,16800,16.89214324951172,14.048601150512695,0.0,69.0,0.0,-0.011559681985592195,data\synthetic\syn_00111_uc.npy
syn_00112,1057,0,18600,9.677069664001465,8.926739692687988,0.0,40.0,0.0,-0.5541473100245831,data\synthetic\syn_00112_uc.npy
syn_00113,1057,1,18600,14.532445907592773,7.118051052093506,0.0,40.0,0.0,-0.423467562897305,data\synthetic\syn_00113_uc.npy
syn_00114,1058,0,21600,18.8126163482666,19.425748825073242,0.0,116.5,0.0,0.1649366303353467,data\synthetic\syn_00114_uc.npy
syn_00115,1058,1,21600,17.734838485717773,19.783897399902344,0.0,116.5,0.0,-0.09800235652458376,data\synthetic\syn_00115_uc.npy
syn_00116,1059,0,20400,36.135833740234375,32.92951583862305,0.0,127.0,0.0,-0.014058632651667954,data\synthetic\syn_00116_uc.npy
syn_00117,1059,1,20400,32.866519927978516,31.864612579345703,0.0,127.0,0.0,-0.12825506417710736,data\synthetic\syn_00117_uc.npy
syn_00118,1060,0,15600,11.243942260742188,10.551660537719727,0.0,69.0,0.0,-0.3039380483340049,data\synthetic\syn_00118_uc.npy
syn_00119,1060,1,15600,12.754326820373535,10.473191261291504,0.0,69.0,0.0,-0.11814349002164311,data\synthetic\syn_00119_uc.npy
syn_00120,1061,0,18000,16.763944625854492,17.784019470214844,0.0,113.5,0.0,0.36375719526794176,data\synthetic\syn_00120_uc.npy
syn_00121,1061,1,18000,13.828110694885254,15.478806495666504,0.0,80.5,0.0,0.16905545192885651,data\synthetic\syn_00121_uc.npy
syn_00122,1062,0,16800,29.515060424804688,26.335643768310547,0.0,103.0,0.0,0.11661022948931053,data\synthetic\syn_00122_uc.npy
syn_00123,1062,1,16800,32.481040954589844,25.405546188354492,0.0,103.0,0.0,0.017546796382884155,data\synthetic\syn_00123_uc.npy
syn_00124,1063,0,19200,21.651901245117188,24.573579788208008,0.0,127.0,0.0,0.2761234820966787,data\synthetic\syn_00124_uc.npy
syn_00125,1063,1,19200,20.080677032470703,25.75700569152832,0.0,127.0,0.0,0.3418227344337188,data\synthetic\syn_00125_uc.npy
syn_00126,1064,0,15600,12.295416831970215,24.51996612548828,0.0,127.5,0.0,0.016757586517391027,data\synthetic\syn_00126_uc.npy
syn_00127,1064,1,15600,12.13810920715332,20.072607040405273,0.0,127.5,0.0,-0.18968555143527543,data\synthetic\syn_00127_uc.npy
syn_00128,1065,0,19200,23.72393226623535,22.451414108276367,0.0,127.0,0.0,-0.007015580309425157,data\synthetic\syn_00128_uc.npy
syn_00129,1065,1,19200,29.673490524291992,25.71996307373047,0.0,127.0,0.0,0.13545131569328017,data\synthetic\syn_00129_uc.npy
syn_00130,1066,0,16800,29.05145835876465,18.327302932739258,0.0,105.0,0.0,-0.025775591461399367,data\synthetic\syn_00130_uc.npy
syn_00131,1066,1,16800,27.422677993774414,17.788728713989258,0.0,91.5,0.0,-0.12431117827682546,data\synthetic\syn_00131_uc.npy
syn_00132,1067,0,21600,17.544883728027344,17.56197166442871,0.0,127.0,0.0,-0.04661350773916062,data\synthetic\syn_00132_uc.npy
syn_00133,1067,1,21600,23.487476348876953,18.48582649230957,0.0,115.0,0.0,-0.07649269759312757,data\synthetic\syn_00133_uc.npy
syn_00134,1068,0,16623,12.484148025512695,11.136116981506348,0.0,51.0,0.0,-0.09689684877323175,data\synthetic\syn_00134_uc.npy
syn_00135,1068,1,16623,15.293208122253418,11.797721862792969,0.0,38.0,0.0,0.19546802447016867,data\synthetic\syn_00135_uc.npy
syn_00136,1069,0,15600,17.58275604248047,9.238475799560547,0.0,62.0,0.0,0.3833533018914698,data\synthetic\syn_00136_uc.npy
syn_00137,1069,1,15600,16.996795654296875,9.983190536499023,0.0,54.0,0.0,0.4900461952569033,data\synthetic\syn_00137_uc.npy
syn_00138,1070,0,18000,15.808555603027344,16.396244049072266,0.0,100.0,0.0,-0.24974901030080576,data\synthetic\syn_00138_uc.npy
syn_00139,1070,1,18000,17.61833381652832,19.01055145263672,0.0,100.0,0.0,-0.13401811364767366,data\synthetic\syn_00139_uc.npy
syn_00140,1071,0,21600,11.165369987487793,18.484426498413086,0.0,127.0,0.0,-0.29660585751817464,data\synthetic\syn_00140_uc.npy
syn_00141,1071,1,21600,16.37030029296875,23.572254180908203,0.0,127.0,0.0,-0.20732853716499489,data\synthetic\syn_00141_uc.npy
syn_00142,1072,0,18000,26.922611236572266,27.445005416870117,0.0,98.0,0.0,0.1262006037851471,data\synthetic\syn_00142_uc.npy
syn_00143,1072,1,18000,19.79891586303711,26.717453002929688,0.0,108.0,0.0,0.27392469989702267,data\synthetic\syn_00143_uc.npy
syn_00144,1073,0,21600,14.424189567565918,19.602418899536133,0.0,127.0,0.0,0.20299342352927963,data\synthetic\syn_00144_uc.npy
syn_00145,1073,1,21600,13.844698905944824,16.36817741394043,0.0,82.5,0.0,0.1286717485177415,data\synthetic\syn_00145_uc.npy
syn_00146,1074,0,16800,10.986666679382324,17.601858139038086,0.0,100.0,0.0,0.17123407073435437,data\synthetic\syn_00146_uc.npy
syn_00147,1074,1,16800,15.17214298248291,25.946115493774414,0.0,100.0,0.0,-0.0553110710706616,data\synthetic\syn_00147_uc.npy
syn_00148,1075,0,20400,40.22605514526367,40.39881134033203,0.0,127.0,0.0,-0.1089864230231589,data\synthetic\syn_00148_uc.npy
syn_00149,1075,1,20400,46.87965774536133,39.431217193603516,0.0,127.0,0.0,-0.12108882785361591,data\synthetic\syn_00149_uc.npy
syn_00150,1076,0,15600,13.172307968139648,7.297645568847656,0.0,46.0,0.0,-0.15233117903101492,data\synthetic\syn_00150_uc.npy
syn_00151,1076,1,15600,11.205320358276367,8.424151420593262,0.0,46.5,0.0,-0.3818099793535646,data\synthetic\syn_00151_uc.npy
syn_00152,1077,0,16952,43.45829391479492,24.158733367919922,0.0,100.0,0.0,-0.15171081347375914,data\synthetic\syn_00152_uc.npy
syn_00153,1077,1,16952,37.8260383605957,26.44098472595215,0.0,100.0,0.0,0.006987723463722293,data\synthetic\syn_00153_uc.npy
syn_00154,1078,0,19200,17.821979522705078,17.010202407836914,0.0,100.0,0.0,-0.15968910330425037,data\synthetic\syn_00154_uc.npy
syn_00155,1078,1,19200,17.069740295410156,15.509498596191406,0.0,100.0,0.0,-0.16119799182760283,data\synthetic\syn_00155_uc.npy
syn_00156,1079,0,18000,18.51911163330078,30.957244873046875,0.0,127.0,0.0,0.19839473241345548,data\synthetic\syn_00156_uc.npy
syn_00157,1079,1,18000,24.44533348083496,36.33155822753906,0.0,127.0,0.0,0.2067274798328421,data\synthetic\syn_00157_uc.npy
syn_00158,1080,0,16800,29.57413673400879,27.116422653198242,0.0,127.0,0.0,-0.3129992732196389,data\synthetic\syn_00158_uc.npy
syn_00159,1080,1,16800,26.312292098999023,24.872297286987305,0.0,127.0,0.0,-0.3763103531174936,data\synthetic\syn_00159_uc.npy
syn_00160,1081,0,16800,12.660238265991211,10.923572540283203,0.0,61.0,0.0,0.0008346363713034117,data\synthetic\syn_00160_uc.npy
syn_00161,1081,1,16800,10.34029769897461,9.947437286376953,0.0,83.0,0.0,-0.05045498484600293,data\synthetic\syn_00161_uc.npy
syn_00162,1082,0,20400,13.773137092590332,19.10318374633789,0.0,127.0,0.0,0.096315443879649,data\synthetic\syn_00162_uc.npy
syn_00163,1082,1,20400,13.054485321044922,19.84349822998047,0.0,127.0,0.0,0.07059307372432377,data\synthetic\syn_00163_uc.npy
syn_00164,1083,0,16800,10.77270793914795,18.29553985595703,0.0,106.0,0.0,0.0919919416195852,data\synthetic\syn_00164_uc.npy
syn_00165,1083,1,16800,9.166160583496094,18.12484359741211,0.0,106.0,0.0,0.00625784593709187,data\synthetic\syn_00165_uc.npy
syn_00166,1084,0,16800,6.107975959777832,8.432816505432129,0.0,47.0,0.0,0.025238174752140796,data\synthetic\syn_00166_uc.npy
syn_00167,1084,1,16800,6.636904716491699,8.24437427520752,0.0,67.0,0.0,-0.03958703745426952,data\synthetic\syn_00167_uc.npy
syn_00168,1085,0,20400,15.0336275100708,23.018264770507812,0.0,100.0,0.0,0.1380753035698751,data\synthetic\syn_00168_uc.npy
syn_00169,1085,1,20400,17.32411766052246,25.35496711730957,0.0,100.0,0.0,0.17814637262279143,data\synthetic\syn_00169_uc.npy
syn_00170,1086,0,15600,15.382628440856934,13.13814926147461,0.0,63.0,0.0,0.5189692096669275,data\synthetic\syn_00170_uc.npy
syn_00171,1086,1,15600,19.991987228393555,13.475186347961426,0.0,59.0,0.0,0.36813849801665394,data\synthetic\syn_00171_uc.npy
syn_00172,1087,0,19200,11.268333435058594,15.366389274597168,0.0,100.0,0.0,0.05566293109435735,data\synthetic\syn_00172_uc.npy
syn_00173,1087,1,19200,11.060885429382324,14.162578582763672,0.0,71.0,0.0,-0.031308131298126256,data\synthetic\syn_00173_uc.npy
syn_00174,1088,0,21600,23.20655059814453,21.571792602539062,0.0,126.0,0.0,0.11426329150307797,data\synthetic\syn_00174_uc.npy
syn_00175,1088,1,21600,25.740463256835938,22.169178009033203,0.0,126.0,0.0,0.050076375236911,data\synthetic\syn_00175_uc.npy
syn_00176,1089,0,16800,21.068035125732422,24.91383171081543,0.0,127.0,0.0,-0.059785800673953005,data\synthetic\syn_00176_uc.npy
syn_00177,1089,1,16800,22.034435272216797,27.305482864379883,0.0,127.0,0.0,-0.02098274598305955,data\synthetic\syn_00177_uc.npy
syn_00178,1090,0,16800,20.63565444946289,22.271072387695312,0.0,126.5,0.0,0.09067150933270789,data\synthetic\syn_00178_uc.npy
syn_00179,1090,1,16800,28.441011428833008,27.45893669128418,0.0,127.0,0.0,0.18031899706969423,data\synthetic\syn_00179_uc.npy
syn_00180,1091,0,15600,15.61224365234375,11.105133056640625,0.0,76.0,0.0,0.22947240228932134,data\synthetic\syn_00180_uc.npy
syn_00181,1091,1,15600,18.414838790893555,12.267939567565918,0.0,76.0,0.0,0.24774898700297251,data\synthetic\syn_00181_uc.npy
syn_00182,1092,0,16800,26.158571243286133,23.573965072631836,0.0,100.0,0.0,-0.00967529061256591,data\synthetic\syn_00182_uc.npy
syn_00183,1092,1,16800,18.42047691345215,19.60394287109375,0.0,99.0,0.0,0.2020608172027615,data\synthetic\syn_00183_uc.npy
syn_00184,1093,0,15600,7.863974571228027,11.738221168518066,0.0,98.0,0.0,-0.38704093084752855,data\synthetic\syn_00184_uc.npy
syn_00185,1093,1,15600,8.42269229888916,11.236846923828125,0.0,98.0,0.0,-0.3382955126808618,data\synthetic\syn_00185_uc.npy
syn_00186,1094,0,21600,14.504375457763672,10.195449829101562,0.0,85.5,0.0,-0.16271523485396436,data\synthetic\syn_00186_uc.npy
syn_00187,1094,1,21600,14.625347137451172,9.465965270996094,0.0,85.5,0.0,-0.0487990513634105,data\synthetic\syn_00187_uc.npy
syn_00188,1095,0,16800,9.542381286621094,17.4780330657959,0.0,100.0,0.0,-0.05124434248843874,data\synthetic\syn_00188_uc.npy
syn_00189,1095,1,16800,10.135773658752441,18.019914627075195,0.0,100.0,0.0,-0.10185042828795333,data\synthetic\syn_00189_uc.npy
syn_00190,1096,0,19200,22.334712982177734,26.205976486206055,0.0,127.0,0.0,-0.0385447360088856,data\synthetic\syn_00190_uc.npy
syn_00191,1096,1,19200,27.084192276000977,25.74306297302246,0.0,127.0,0.0,-0.016782693151793586,data\synthetic\syn_00191_uc.npy
syn_00192,1097,0,16800,25.507143020629883,16.66375732421875,0.0,96.0,0.0,-0.04613159228297962,data\synthetic\syn_00192_uc.npy
syn_00193,1097,1,16800,29.723392486572266,16.345355987548828,0.0,96.0,0.0,0.011949131066205354,data\synthetic\syn_00193_uc.npy
syn_00194,1098,0,19200,15.235390663146973,14.834583282470703,0.0,91.0,0.0,-0.2385385511491226,data\synthetic\syn_00194_uc.npy
syn_00195,1098,1,19200,15.121406555175781,14.25615119934082,0.0,91.0,0.0,-0.20594955624151481,data\synthetic\syn_00195_uc.npy
